SKU,Strain,Tier,Type,THC,Price_3G,Price_5G,Price_14G,Price_28G,ImageURL,PPromo
9307,PINK KOSHER KUSH LTD BAG,AAA+,IH SALE,31%,20|15,,,,https://athena-cannabis-images.vercel.app/products/354-PINK-KOSHER-KUSHs.jpg,https://kennedyloudcannabis.com/wp-content/uploads/2026/01/ChatGPT-Image-Jan-7-2026-03_04_10-AM.png
9308,PURPLE RUNTZ LTD BAG,AAA+,IH SALE,30%,20|15,,,,https://athena-cannabis-images.vercel.app/products/325-PURPLE-RUNTZ-99112-38lbs.jpg,
9330,PURPLE CANDY LAND LTD BAG,AAA+,SH SALE,31%,20|15,,,,https://athena-cannabis-images.vercel.app/products/364-PURPLE-CANDY-LAND.jpg,
9400,LEMON HAZE LTD BAG,PREMIUM,SH SALE,32%,30|20,,,,https://afterdarkcannabis.com/wp-content/uploads/2025/05/442-LEMON-HAZE.jpeg,
9401,PINK BUBBLEGUM LTD BAG,PREMIUM,IH SALE,33%,30|20,,,,https://afterdarkcannabis.com/wp-content/uploads/2025/05/446-Pink-Bubblegum.jpg,
9402,BLACKBERRY KUSH LTD BAG,PREMIUM,IH SALE,33%,30|20,,,,https://afterdarkcannabis.com/wp-content/uploads/2025/05/448-Blackberry-Kush.jpg,
9403,PINK GOD   LTD BAG,PREMIUM,IH SALE,33%,30|20,,,,https://athena-cannabis-images.vercel.app/products/406-PINK-GOD.jpg,
9404,DEATH BUBBA LTD BAG,PREMIUM,IH SALE,32%,30|20,,,,https://athena-cannabis-images.vercel.app/products/401-DEATH-BUBBA.jpg,
9500,JACK HERER LTD BAG,EXOTIC,IH SALE,36%,40|30,,,,https://afterdarkcannabis.com/wp-content/uploads/2025/05/510-Jack-Herer.jpeg,
9501,PINK PINETAR LTD BAG,EXOTIC,IH SALE,39%,40|30,,,,https://afterdarkcannabis.com/wp-content/uploads/2025/05/516-PinkTar.jpg,
9502,PINK WAGYU STAR LTD BAG,EXOTIC,IH SALE,39%,40|30,,,,https://afterdarkcannabis.com/wp-content/uploads/2025/06/525-PINK-WAGYU-STAR.jpg,
9503,MOTOR BREATHE LTD BAG,EXOTIC,IH SALE,36%,40|30,,,,https://afterdarkcannabis.com/wp-content/uploads/2025/05/520-MOTO-BREAK.jpeg,
9504,PINK ASTRO LTD BAG,EXOTIC,IH SALE,36%,40|30,,,,https://bloudsdispensary.ca/wp-content/uploads/2025/07/527-Pink-Astro.jpg,
