SKU,Type,Category,Name,THC,MG,Price_EACH,ImageURL,PPromoimageurl,PPromo,,,,,
"650, 651",,EDIBLES,GALAXY GUMMIES 6000MG,,,$40,https://afterdarkcannabis.com/wp-content/uploads/2025/05/640-641-GALAXY-6000.jpg,,,,,,,
"800, 801, 802",i/h/s,VAPE DISPOSABLE,GAS GANG DISPO VAPE 1G,98%+,,$45,https://athena-cannabis-images.vercel.app/products/GasGang.jpg,,,,,,,
1070,,VAPE PENS,GEEK 9000 PULSE – 2% | 9K PUFFS,,,$30,https://afterdarkcannabis.com/wp-content/uploads/2025/07/1070-GeekBarPulse.jpg,,,,,,,
1073,,VAPE PENS,GEEK MAX – 5% | 20K–30K PUFFS | MANY FLAVORS,,,$35,https://athena-cannabis-images.vercel.app/products/GEEKMAX500x500HQ.webp,,,,,,,
1072,,VAPE PENS,GEEK PROMAX – 5% | 30K PUFFS,,,$35,https://afterdarkcannabis.com/wp-content/uploads/2025/09/GEEK-PROMAX.jpg,,,,,,,
"1,074",,VAPE PENS,GEEK SUPREME 60000 – 5% | 60K PUFFS | MANY FLAVORS,,,$40,https://athena-cannabis-images.vercel.app/products/GEEKSUPREME60000500x500HQ.webp,,,,,,,
873,,EDIBLES,GEN LIVE RESIN 1G,,,$40,https://athena-cannabis-images.vercel.app/products/871-live-resin.jpeg,,,,,,,
966,,EDIBLES,GOOBER THC CHOCOLATE 1000MG,,1000MG,$30,https://athena-cannabis-images.vercel.app/products/966-GOOBER-THC-CHOCOLOATE-1000MG.webp,,,,,,,
965,,EDIBLES,GOOBER THC GUMMIES 1000MG,,1000MG,$30,https://athena-cannabis-images.vercel.app/products/965-GOOBER-THC-GUMMIES-1000MG.webp,,,,,,,
"887, 888, 889",i/h/s,VAPE DISPOSABLE,GOOBER VAPE PEN 1G,98%+,,$35,https://athena-cannabis-images.vercel.app/products/Goober-1g-disposable-vape-pen.jpg,,,,,,,
"240, 241",,cigarettes,GRABBA ,,,$5,https://athena-cannabis-images.vercel.app/products/GRABBA-2G.webp,,,,,,,
"240, 241",,cigarettes,GRABBA RedRose / RedHerring,,,$5,https://athena-cannabis-images.vercel.app/products/GRABBA-2G.webp,,,,,,,
"668, 669",,cigarettes,GRABBA SHAKER *RedRose / Red Herring*,,,$19 / $18,https://athena-cannabis-images.vercel.app/products/GrabbaShaker.webp,,,,,,,
"859, 860, 861",,CONCENTRATES,"GRAND CANNABIS- STAR HASH , AFGHAN, DARK VADER ",,,$40 / $30 / $25,https://athena-cannabis-images.vercel.app/products/GrandCannabis.png,,,,,,,
1053,,CONCENTRATES,HAPPY DAD 6MGx20 NICOTINE POUCHES,,,$20,https://afterdarkcannabis.com/wp-content/uploads/2025/11/1053-Happy-Dad-Nicotine-Pouches.jpg,,,,,,,
"863, 864, 865, 866, 867",,CONCENTRATES,HASH 3G,,,$40,https://afterdarkcannabis.com/wp-content/uploads/2025/07/newHASH-1-600x600-1.jpg,,,,,,,
854,,CONCENTRATES,"HASH ON SALE  AFGAN , BLACK MOROCCAN, TURKISH",,,$20,https://athena-cannabis-images.vercel.app/products/200-Hash-e1643386480827.jpeg,,,,,,,
"655, 656, 657",,EDIBLES,KNOCK OUT GUMMIES ,,1500mg / 3000mg / 5000mg,$25 / $35 / $50,https://athena-cannabis-images.vercel.app/products/KnockOutGummies.jpg,,,,,,,
1094,,VAPE PENS,KRAZE LUNA – MANY FLAVORS,,,$40,https://athena-cannabis-images.vercel.app/products/1094-Kraze-Luna.webp,,,,,,,
389,SH,Add Ons,LAUGHING BUDDHA 1G SAT PRE-ROLL,31%,,$8,https://athena-cannabis-images.vercel.app/products/pinkkush.webp,,,,,,,
1085,,VAPE PENS,Level X Boost G2 device kit ,,,$15,https://athena-cannabis-images.vercel.app/products/1085-Level-X-Boost-G2-device-kit.webp,,,,,,,
1086,,VAPE PENS,Level X G2 pod ,,,$35,https://athena-cannabis-images.vercel.app/products/1086-Level-X-G2-pod.webp,,,,,,,
"680, 681, 682, 683",,EDIBLES,LIVE RESIN GUMMIES IND / SAT in ASSORTED FLAVORS,,150mg / 600mg,$16 / $35,https://athena-cannabis-images.vercel.app/products/LiveResinGummies.webp,,,,,,,
489,SH,Add Ons,MAUI WOWIE 1G SAT PRE-ROLL,33%,,$10,https://athena-cannabis-images.vercel.app/products/mauiwowie.webp,,,,,,,
631,,MAGIC & OTHERS,MINDF*CK CHOCO 8000MG,,8000mg,$60,https://athena-cannabis-images.vercel.app/products/MindFCK-Psilocybin-Chocolate-8000mg.jpg,,,,,,,
633,,MAGIC & OTHERS,MINDF*CK GUMMIES BAR 5000MG,,5000mg,$35,https://athena-cannabis-images.vercel.app/products/631-Mindfck-Psilocybin-Gummies-Bar-5000mg.jpg,,,,,,,
"1,096",,VAPE PENS,MOSMO STORM-X – 5% | 10K PUFFS,,,$10,https://afterdarkcannabis.com/wp-content/uploads/2025/09/Storm10000X.jpg,,,,,,,
"1,097",,VAPE PENS,MOVEMENT LV 18K – 5% | 18K PUFFS | MANY FLAVORS,,,$35,https://athena-cannabis-images.vercel.app/products/movementpurplepunch.webp,,,,,,,
1098,,VAPE PENS,NEXA PIX – 5% | 35K PUFFS | MANY FLAVORS,,,$35,https://athena-cannabis-images.vercel.app/products/strawberryicenexapix35kdisposable1.webp,,,,,,,
1017,,cigarettes,NEXUS FULL,,,25/carton,https://athena-cannabis-images.vercel.app/products/1017-NEXUS-FULL.webp,,,,,,,
1018,,cigarettes,NEXUS LIGHTS,,,25/carton,https://athena-cannabis-images.vercel.app/products/1018-NEXUS-LIGHTS.webp,,,,,,,
"1056, 1057, 1058",,cigarettes,"NICOTINE POUCHES , VELO, PABLO, KILLA",,,$20,https://athena-cannabis-images.vercel.app/products/assortednicotinepouches600.webp,,,,,,,
"600, 601, 602, 603",,EDIBLES,NRTHRN EXTRACTS GUMMIES,,400mg,$20,https://athena-cannabis-images.vercel.app/products/Fruit-Gummies-1.jpg,,,,,,,
"606, 607, 608, 609, 612",,EDIBLES,NRTHRN EXTRACTS GUMMIES,,1200mg,$25,https://athena-cannabis-images.vercel.app/products/606-Melon-Headz-Gummies-1200mg.jpg,,,,,,,
1081,,VAPE PENS,OVNS 10000 – 5% | 10K PUFFS,,,$35,https://afterdarkcannabis.com/wp-content/uploads/2025/07/1081OVNS10000.jpg,,,,,,,
1080,,VAPE PENS,OVNS 2500 – 5% | 2.5K PUFFS,,,$20,https://afterdarkcannabis.com/wp-content/uploads/2025/07/1080-ovns2500.jpg,,,,,,,
1084,,VAPE PENS,OVNS DISPOSABLE – 5% | 8ML | MANY FLAVORS,,,$35,https://athena-cannabis-images.vercel.app/products/OVNS500x500HQ.webp,,,,,,,
"1,083",,VAPE PENS,OVNS MAX – 5% | 3K PUFFS,,,$30,https://athena-cannabis-images.vercel.app/products/OVNS.webp,,,,,,,
1082,,VAPE PENS,OVNS PIONEER – 5% | 22K PUFFS,,,$30,https://afterdarkcannabis.com/wp-content/uploads/2025/09/ovns22K.jpg,,,,,,,
188,IH,Add Ons,PINK ANIMAL 1G IND PRE-ROLL,28%,,$5,https://athena-cannabis-images.vercel.app/products/pinkanimal.webp,,,,,,,
588,IH,Add Ons,PINK GODFATHER OG 1G IND PRE-ROLL,38%,,$12,https://athena-cannabis-images.vercel.app/products/pinkgodfatherog.webp,,,,,,,
388,IH,Add Ons,PINK KUSH 1G IND PR-ROLL,31%,,$8,https://athena-cannabis-images.vercel.app/products/laughingbuddha.webp,,,,,,,
488,IH,Add Ons,PINK PREDATOR 1G IND PRE-ROLL,33%,,$10,https://athena-cannabis-images.vercel.app/products/pinkpredator.webp,,,,,,,
1009,,cigarettes,PLAYFARE ULTRA LIGHTS,,,25/carton,https://athena-cannabis-images.vercel.app/products/1009-PLAYFARE-ULTRA-LIGHTS.webp,,,,,,,
1008,,cigarettes,PUTTERS,,,25/carton,https://athena-cannabis-images.vercel.app/products/1008-PUTTERS-FULL.webp,,,,,,,
710,,Add Ons,RAW PAPER KING SIZE,,,$3,https://athena-cannabis-images.vercel.app/products/rawblackkingsizeslimupnsmokeonline580x2xc0c39f81-d3b7-402b-9de1-f73d1f563d49.webp,,,,,,,
"876, 877, 878",,CONCENTRATES,"RESIN TAG ALONG 2G HYBRID, IND, SAT",,,$50,https://athena-cannabis-images.vercel.app/products/876-RESIN-TAG-ALONG-2G-HYBRID.webp,,,,,,,
"1,099",,VAPE PENS,SALE CROWN BAR – AL FAKHER 10k ,,,$25,https://athena-cannabis-images.vercel.app/products/AlFakherCrownBarCrystal10kLowNicotineDisposableVape-10000Puffs-18mlBlueberryIceBlissVapes.webp,,,,,,,
"231, 232",,EDIBLES,SHATTER BAR 500mg Indica / Sativa,,500mg,$40,https://athena-cannabis-images.vercel.app/products/Shatter-Bar.jpg,,,,,,,
"643, 644",,EDIBLES,SHATTER CHEWS 150 MG,,150mg,$20,https://athena-cannabis-images.vercel.app/products/Euphoria-Extractions-Shatter-Chews-120mg.jpg,,,,,,,
"645, 645",,EDIBLES,SHATTER CHEWS 600 MG,,600mg,$40,https://athena-cannabis-images.vercel.app/products/Euphoria-Extractions-Shatter-Chews-600mg.jpg,,,,,,,
"645, 646",,EDIBLES,SHATTER CHEWS 600 MG,,600mg,$40,https://athena-cannabis-images.vercel.app/products/Euphoria-Extractions-Shatter-Chews-600mg.jpg,,,,,,,
"613, 614",,EDIBLES,STELLAR GUMMIES 1000MG / 2000MG,,1000mg / 2000mg,$40 / $55,https://athena-cannabis-images.vercel.app/products/stellargummies600x600.webp,,,,,,,
615,,EDIBLES,STELLAR GUMMIES 500MG,,500mg,$25,https://athena-cannabis-images.vercel.app/products/615-Stellar-Gummies-500mg.jpg,,,,,,,
1087,,VAPE PENS,STLTH Type-C device,,,$15,,,,,,,,
691,,EDIBLES,Stoner PATCH ,,1000mg,$35,https://athena-cannabis-images.vercel.app/products/STONERPATCHTHCSYRUP500x500HQ.webp,,,,,,,
589,SH,Add Ons,STRAWBERRY COUGH 1G SAT PRE-ROLL,38%,,$12,https://athena-cannabis-images.vercel.app/products/strawberrycough.webp,,,,,,,
699,,EDIBLES,THC LOLLIPOP,,400mg,$10,https://afterdarkcannabis.com/wp-content/uploads/2025/07/699-THC-LOLLIPOP.jpg,,,,,,,
"547, 548, 549",,CONCENTRATES,THC SYRUP 500MG,,500mg,$25,https://athena-cannabis-images.vercel.app/products/CANAVIS-THC-infused-SYRUP-ALL-FLAVOURS.jpeg,,,,,,,
1019,,cigarettes,TIME FULL,,,25/carton,https://athena-cannabis-images.vercel.app/products/1019-TIMES-FULL.webp,,,,,,,
1020,,cigarettes,TIME LIGHTS,,,25/carton,https://athena-cannabis-images.vercel.app/products/1019-TIMES-FULL.webp,,,,,,,
"635, 636",,MAGIC & OTHERS,TRIPNOTIK CHOCO 5000MG,,5000mg,$50,https://athena-cannabis-images.vercel.app/products/635-Triptonik-Milk-Choco.jpg,,,,,,,
637,,MAGIC & OTHERS,TRIPNOTIK GUMMIES 4000MG,,4000mg,$30,https://athena-cannabis-images.vercel.app/products/Tripnotik-Psilocybin-Gummies.jpg,,,,,,,
1088,,VAPE PENS,Uwell Caliburn pod ,,,$10,https://athena-cannabis-images.vercel.app/products/1088-Uwell-Caliburn-pod.webp,,,,,,,
1069,,VAPE PENS,Vice disposable 25k,,,$25,,,,,,,,
638,,MAGIC & OTHERS,Well Spore & Co Mushroom Bar,,6000mg,$50,https://athena-cannabis-images.vercel.app/products/well-spore-dual-500x500-1.webp,,,,,,,
"687, 688, 689",,EDIBLES,WESLEY HOT CHOCOLATE 40mg THC / 40mg CBD / 20mg CBD + 20mg THC,,40mg / 20mg + 20mg,$8,https://athena-cannabis-images.vercel.app/products/WesleyHotCoco.webp,,,,,,,
686,,EDIBLES,WESLEY TEA,,40mg,$5,https://athena-cannabis-images.vercel.app/products/WesleyTea.webp,,,,,,,
1055,,CONCENTRATES,"ZPods / ZPODS – Mango Pineapple (3×2 mL pods, 5% synthetic nic)",,,$20,https://athena-cannabis-images.vercel.app/products/ZpodsMANGO-PINEAPPLE-E-CigzVapeShopGuelph.webp,,,,,,,
1054,,CONCENTRATES,ZYN NICOTINE POUCHES,,,$20,https://athena-cannabis-images.vercel.app/products/Zyn-Nicotine-pouches.webp,,,,,,,
